cmd,pageIndex,pageSubIndex,pageUnit,pageSize,subPageSize,firstIndex,lastIndex,recordCountPerPage,currentPage,searchWord,searchKey,sgId,subSgId,sgName,menuId,menuName,upperMenuId,urlPathName,menuDepth,menuSgId,cvId,cvName,wiwsidocode,wiwid,wiwname,sortYn,sggid,sggname,hSgId,hRegionId,hGuId,hSggId,sgBireYn,jdid,jdname,huboid,hbjname,hbjgiho,hbjjikup,hbjhakruk,cnt,sgTypecode,filename,fileinfo,fileTypeCode,filePathName,updtFileName,fileTypeName,psgId,psidoId,pwiwid,psggid,psubSgId,roleId,phGuId,atchSeqNo,hbjgihosangse,hSubSgId,psggname,elecEndYn,fileDispYn,pdfLink
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2280302,동구미추홀구을,,,,,,100,더불어민주당,100134743,남영희,1,정당인,연세대학교 행정대학원 졸업(정치학 석사),53,,Gsg2803/Hb100134743/gicho/thumbnail.100134743.JPG,선거공보||20200415/PDF/PBINFO/2803/003_100134743_20200401_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134743.pdf&requestedFullPath=20200415/PDF/PBINFO/2803/003_100134743_20200401_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2280302,동구미추홀구을,,,,,,200,미래통합당,100137464,안상수,2,국회의원,서울대학교 대학원 졸업(경영학석사),53,,Gsg2803/Hb100137464/gicho/thumbnail.100137464.JPG,선거공보||20200415/PDF/PBINFO/2803/003_100137464_20200402_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137464.pdf&requestedFullPath=20200415/PDF/PBINFO/2803/003_100137464_20200402_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2280302,동구미추홀구을,,,,,,730,정의당,100137265,정수영,6,정당인,인천대학교 건축공학과 졸업,53,,Gsg2803/Hb100137265/gicho/thumbnail.100137265.JPG,선거공보||20200415/PDF/PBINFO/2803/003_100137265_20200405_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137265.pdf&requestedFullPath=20200415/PDF/PBINFO/2803/003_100137265_20200405_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2280302,동구미추홀구을,,,,,,5031,국가혁명배당금당,100135359,황창식,7,정당인,미기재,53,,Gsg2803/Hb100135359/gicho/thumbnail.100135359.JPG,선거공보||20200415/PDF/PBINFO/2803/003_100135359_20200401_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135359.pdf&requestedFullPath=20200415/PDF/PBINFO/2803/003_100135359_20200401_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290302,동구남구갑,,,,,,100,더불어민주당,100134590,윤영덕,1,정당인,중국 북경대학교 대학원 졸업 국제정치학 전공 법학박사(1999.9.~2005.7.),42,,Gsg2903/Hb100134590/gicho/thumbnail.100134590.JPG,선거공보||20200415/PDF/PBINFO/2903/003_100134590_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134590.pdf&requestedFullPath=20200415/PDF/PBINFO/2903/003_100134590_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290302,동구남구갑,,,,,,2080,민생당,100136719,장병완,3,제20대국회의원,서울대학교 상과대학 무역학과 졸업,42,,Gsg2903/Hb100136719/gicho/thumbnail.100136719.JPG,선거공보||20200415/PDF/PBINFO/2903/003_100136719_20200401_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136719.pdf&requestedFullPath=20200415/PDF/PBINFO/2903/003_100136719_20200401_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290302,동구남구갑,,,,,,5031,국가혁명배당금당,100135492,한기선,7,형틀목수,광주대학교 경영학과 중퇴(1992.3.5.~1992.10.2.),42,,Gsg2903/Hb100135492/gicho/thumbnail.100135492.JPG,선거공보||20200415/PDF/PBINFO/2903/003_100135492_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135492.pdf&requestedFullPath=20200415/PDF/PBINFO/2903/003_100135492_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290302,동구남구갑,,,,,,3040,기독자유통일당,100138002,이안숙,8,목사,미기재,42,,Gsg2903/Hb100138002/gicho/thumbnail.100138002.JPG,선거공보||20200415/PDF/PBINFO/2903/003_100138002_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100138002.pdf&requestedFullPath=20200415/PDF/PBINFO/2903/003_100138002_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290101,동구남구을,,,,,,100,더불어민주당,100134753,이병훈,1,정당인,전남대학교 일반대학원 행정학과 졸업(행정학박사),42,,Gsg2901/Hb100134753/gicho/thumbnail.100134753.JPG,선거공보||20200415/PDF/PBINFO/2901/003_100134753_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134753.pdf&requestedFullPath=20200415/PDF/PBINFO/2901/003_100134753_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290101,동구남구을,,,,,,2080,민생당,100137303,박주선,3,국회의원,서울대학교 법과대학 행정학과 졸업,42,,Gsg2901/Hb100137303/gicho/thumbnail.100137303.JPG,선거공보||20200415/PDF/PBINFO/2901/003_100137303_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137303.pdf&requestedFullPath=20200415/PDF/PBINFO/2901/003_100137303_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290101,동구남구을,,,,,,730,정의당,100136502,최만원,6,조선대학교 강사,"중국인민대학교 중공당사학과졸업(법학박사,1997.09~2003.08)",42,,Gsg2901/Hb100136502/gicho/thumbnail.100136502.JPG,선거공보||20200415/PDF/PBINFO/2901/003_100136502_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136502.pdf&requestedFullPath=20200415/PDF/PBINFO/2901/003_100136502_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290101,동구남구을,,,,,,5031,국가혁명배당금당,100137882,이향숙,7,정당인,중앙대학교 예술대학 영화학과 졸업,42,,Gsg2901/Hb100137882/gicho/thumbnail.100137882.JPG,선거공보||20200415/PDF/PBINFO/2901/003_100137882_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137882.pdf&requestedFullPath=20200415/PDF/PBINFO/2901/003_100137882_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290101,동구남구을,,,,,,9999,무소속,100135133,김성환,8,정치인,"영국셰필드대학원 사회과학부 정치학과 졸업(정치학박사, 2000.1.1.~2008.4.9.)",42,,Gsg2901/Hb100135133/gicho/thumbnail.100135133.JPG,선거공보||20200415/PDF/PBINFO/2901/003_100135133_20200404_4.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135133.pdf&requestedFullPath=20200415/PDF/PBINFO/2901/003_100135133_20200404_4.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290201,서구갑,,,,,,100,더불어민주당,100137726,송갑석,1,정치인,전남대학교 경영대학 무역학과 졸업,42,,Gsg2902/Hb100137726/gicho/thumbnail.100137726.JPG,선거공보||20200415/PDF/PBINFO/2902/003_100137726_20200404_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137726.pdf&requestedFullPath=20200415/PDF/PBINFO/2902/003_100137726_20200404_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290201,서구갑,,,,,,200,미래통합당,100137601,주동식,2,시민운동가,국민대학교 국어국문학과 졸업,42,,Gsg2902/Hb100137601/gicho/thumbnail.100137601.JPG,선거공보||20200415/PDF/PBINFO/2902/003_100137601_20200401_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137601.pdf&requestedFullPath=20200415/PDF/PBINFO/2902/003_100137601_20200401_1.pdf
